distance,placeName,distanceNumber,hotelId
21.1km,Woodlands Train Checkpoint,21090,909901
1.3km,Tiong Bahru,1290,909901
1.4km,Fort Canning MRT,1350,909901
650m,Robertson Quay,650,909901
750m,Singapore River,750,909901
269m,Waka Waka,269,909901
339m,Kim Seng Park,339,909901
339m,Theatreworks,339,909901
413m,Alkaff Bridge,413,909901
417m,Robertson Quay,417,909901
420m,Amped Trampoline Park,420,909901
564m,The Singapore Buddhist Lodge,564,909901
600m,Culinaryon,600,909901
618m,Singapore Hong San See,618,909901
634m,Aegle TCM Clinique,634,909901
21.3km,Singapore Changi Airport,21290,991874
19km,Woodlands Train Checkpoint,19000,991874
1.2km,Toa Payoh,1150,991874
1.3km,Novena,1260,991874
900m,Balestier,900,991874
173m,Thong Teck Sian Tong Lian Sin Sia,173,991874
200m,Sun Yat Sen Nanyang Memorial Hall,200,991874
233m,ZhongShan Park,233,991874
248m,Burmese Buddhist Temple,248,991874
282m,Zhong Yue Therapy Foot Refelxology & Health Products,282,991874
401m,Toa Payoh Town Park,401,991874
544m,Housing & Development Board,544,991874
549m,Police Heritage Centre,549,991874
647m,Masjid Hajjah Rahimabi Kebun Limau,647,991874
721m,Kidz Amaze,721,991874
23.7km,Singapore Changi Airport,23720,996055
18.7km,Woodlands Train Checkpoint,18720,996055
720m,Orchard,720,996055
980m,Newton,980,996055
280m,Orchard Road,280,996055
54m,Chocosan foot reflexology,54,996055
74m,Padma Spa,74,996055
76m,Sense De Belle,76,996055
118m,Spa Rael Goodwood Park Hotel,118,996055
134m,BRIX,134,996055
160m,Zhao Wei Films,160,996055
161m,The American Club Singapore,161,996055
176m,Supreme Q.X. Beauty Spa,176,996055
178m,Ayuthaya Spa,178,996055
202m,K+ Curatorial Space,202,996055
19.4km,Singapore Changi Airport,19390,965250
28.1km,Woodlands Train Checkpoint,28070,965250
410m,Promenade,410,965250
930m,Esplanade,930,965250
740m,Marina Bay,740,965250
107m,Alive Museum,107,965250
115m,Fountain of Wealth,115,965250
130m,Boat Quay ,130,965250
131m,Millenia Walk Indoor Skiing Course,131,965250
187m,Kglow Skinlab,187,965250
199m,Christmas In The City Carnival,199,965250
228m,SuperPark Singapore,228,965250
261m,GOURMETbus,261,965250
261m,Dream Drive Pte Ltd,261,965250
261m,Cool de Sac Play Centre,261,965250
20.3km,Singapore Changi Airport,20320,687592
28km,Woodlands Train Checkpoint,28010,687592
270m,Bayfront,270,687592
1km,Promenade,1050,687592
1.6km,Marina Bay,1610,687592
130m,CE LA VI Club Lounge,130,687592
190m,2 Degree,190,687592
193m,Spectra (Light and Water Show),193,687592
198m,A World United,198,687592
219m,Visual Art Trails - Marina Bay,219,687592
231m,Dragonfly Bridge,231,687592
263m,Rooftop Infinity Pool,263,687592
265m,Digital Light Canvas,265,687592
283m,Indian Garden,283,687592
288m,Flower Dome,288,687592
16.4km,Singapore Changi Airport,16380,996333
18.5km,Woodlands Train Checkpoint,18500,996333
330m,Bugis,330,996333
460m,Jalan Besar MRT,460,996333
420m,Bugis,420,996333
42m,Sultan's Gate,42,996333
65m,Malay Heritage Centre,65,996333
73m,Green Apple Spa,73,996333
87m,The Gem Museum,87,996333
90m,Masjid Sultan,90,996333
93m,Gelam Gallery,93,996333
93m,Muscat Street,93,996333
103m,Children Little Museum,103,996333
126m,Trapped,126,996333
148m,Kampong Glam,148,996333
16km,Singapore Changi Airport,15990,3801236
18.3km,Woodlands Train Checkpoint,18310,3801236
330m,Lavender,330,3801236
560m,Jalan Besar MRT,560,3801236
370m,Lavender,370,3801236
152m,Malabar Mosque,152,3801236
191m,Sushi Bee,191,3801236
301m,MAM Holidays Singapore,301,3801236
347m,Alsagoff Arab School,347,3801236
378m,Wellaholic (Lavender Outlet),378,3801236
391m,Xi Yuan Foot Spa,391,3801236
398m,Green Apple Spa,398,3801236
402m,Soon Kee Boneless Lor Duck Rice,402,3801236
410m,Hajjah Fatimah Mosque,410,3801236
413m,Putian Tiandao Church,413,3801236
23.9km,Singapore Changi Airport,23860,80508054
19.3km,Woodlands Train Checkpoint,19300,80508054
760m,Orchard,760,80508054
1.5km,Newton,1520,80508054
700m,Orchard Road,700,80508054
97m,Footworks Reflexology,97,80508054
102m,Pop And Contemporary Fine Art,102,80508054
148m,Supreme Q.X. Beauty Spa,148,80508054
153m,Ayuthaya Spa,153,80508054
156m,Shaw Concessions,156,80508054
174m,YANG Gallery,174,80508054
176m,Wellaholic (Clarke Quay Outlet),176,80508054
185m,Singapore Sidecars,185,80508054
213m,Swuk Aesthetics & Spa,213,80508054
252m,The American Club Singapore,252,80508054
25km,Singapore Changi Airport,25020,996317
18.8km,Woodlands Train Checkpoint,18840,996317
1km,Orchard,1050,996317
1.9km,Somerset,1890,996317
1.3km,Orchard Road,1340,996317
83m,Remede Spa,83,996317
186m,Boons Pottery & Art Gallery,186,996317
186m,Bruno Gallery,186,996317
221m,Four Seasons Spa,221,996317
223m,Trimmings Salon & Spa - AVEDA,223,996317
264m,Spaboutique,264,996317
303m,YANG Gallery,303,996317
311m,Swuk Aesthetics & Spa,311,996317
389m,Wellaholic (Clarke Quay Outlet),389,996317
444m,Pulse TCM Clinic & Foot Reflexology,444,996317
22.5km,Singapore Changi Airport,22510,995003
28.4km,Woodlands Train Checkpoint,28360,995003
440m,Tanjong Pagar,440,995003
970m,Outram Park,970,995003
650m,Chinatown,650,995003
6m,Seng Wong Beo Temple,6,995003
153m,MEROskin,153,995003
159m,Bonafides Spa,159,995003
168m,Imperial Apple Spa,168,995003
220m,Kiray Face and Body Spa,220,995003
233m,Indulgence Beauty Boutique Face And Body Wellness,233,995003
234m,Pure Tincture Organic Beauty,234,995003
277m,Tanjong Pagar,277,995003
277m,The Poh Toh Si Temple,277,995003
325m,Charm Beauty Zone,325,995003
26km,Singapore Changi Airport,26030,995051
29.7km,Woodlands Train Checkpoint,29670,995051
1.3km,Fort Canning MRT,1280,995051
1.3km,Chinatown,1290,995051
560m,Robertson Quay,560,995051
680m,Singapore River,680,995051
179m,Waka Waka,179,995051
357m,Theatreworks,357,995051
362m,Alkaff Bridge,362,995051
374m,Robertson Quay,374,995051
503m,Pearl's Hill City Park,503,995051
543m,Amped Trampoline Park,543,995051
547m,Wellness & Care - Sauna Detox Center,547,995051
575m,Kim Seng Park,575,995051
591m,Tiong Bahru Estate,591,995051
610m,Seng Poh Garden & Dancing Girl Sculpture,610,995051
24.6km,Singapore Changi Airport,24650,995010
27.9km,Woodlands Train Checkpoint,27880,995010
850m,Sentosa,850,995010
880m,HarbourFront,880,995010
1.1km,Harbourfront,1110,995010
116m,Mesjid Temenggong Daeng Ibrahim,116,995010
440m,Library@Harbourfront,440,995010
737m,Old Habits,737,995010
765m,Imbiah Lookout,765,995010
797m,the Ridges,797,995010
799m,Singapore Cable Car,799,995010
803m,Church of St Teresa,803,995010
837m,Keppel Hill Reservoir,837,995010
860m,Dong Yue Miao,860,995010
1km,Royal Albatross,1050,995010
20.3km,Singapore Changi Airport,20340,687490
29km,Woodlands Train Checkpoint,29000,687490
290m,Raffles Place,290,687490
470m,Downtown,470,687490
1.6km,Marina Bay,1590,687490
76m,Kinki Restaurant + Bar,76,687490
85m,OUE Tower,85,687490
136m,Largest Vertical Garden,136,687490
136m,Complex Simplicity,136,687490
185m,Singapore Momentum Sculpture,185,687490
207m,Bioskin,207,687490
244m,Raffles Place,244,687490
252m,Marina Bay Singapore Countdown,252,687490
284m,1-Altitude,284,687490
294m,Beyond Beauty,294,687490
22.7km,Singapore Changi Airport,22660,40611447
29.8km,Woodlands Train Checkpoint,29830,40611447
480m,Telok Ayer,480,40611447
530m,Chinatown,530,40611447
650m,Chinatown,650,40611447
12m,Tang Dynasty Massage & Spa,12,40611447
12m,Traditional Oriental Therapy,12,40611447
54m,Le Spa,54,40611447
114m,Mohamed Ali Lane,114,40611447
143m,Heading Home (Rickshaw),143,40611447
151m,Afond Boutique Spa,151,40611447
158m,Jamae Mosque,158,40611447
165m,Nagore Durgha Shrine,165,40611447
168m,Former Keng Teck Whay Building,168,40611447
168m,Sri Mariamman Temple,168,40611447
19.2km,Singapore Changi Airport,19190,1595036
20.4km,Woodlands Train Checkpoint,20350,1595036
240m,Tanjong Pagar,240,1595036
670m,Outram Park,670,1595036
560m,Chinatown,560,1595036
94m,Seng Wong Beo Temple,94,1595036
153m,MEROskin,153,1595036
161m,Pure Tincture Organic Beauty,161,1595036
192m,Kiray Face and Body Spa,192,1595036
212m,Tanjong Pagar,212,1595036
213m,Bonafides Spa,213,1595036
249m,Imperial Apple Spa,249,1595036
254m,Charm Beauty Zone,254,1595036
270m,The Poh Toh Si Temple,270,1595036
278m,Affordable Art Fair,278,1595036
26.1km,Singapore Changi Airport,26130,909895
29.8km,Woodlands Train Checkpoint,29770,909895
1.2km,Fort Canning MRT,1160,909895
1.2km,Chinatown,1170,909895
440m,Robertson Quay,440,909895
560m,Singapore River,560,909895
250m,Alkaff Bridge,250,909895
256m,Theatreworks,256,909895
263m,Robertson Quay,263,909895
289m,Waka Waka,289,909895
463m,Amped Trampoline Park,463,909895
480m,Wellness & Care - Sauna Detox Center,480,909895
507m,Pearl's Hill City Park,507,909895
523m,Culinaryon,523,909895
526m,Singapore Repertory Theatre,526,909895
530m,Tan Si Chong Su Temple,530,909895
7.6km,Singapore Changi Airport,7600,56369386
34.1km,Woodlands Train Checkpoint,34110,56369386
1.9km,Expo,1920,56369386
7.6km,Singapore Changi Airport Region,7560,56369386
156m,Laguna National Golf & Country Club,156,56369386
639m,The NEWater Visitor Centre,639,56369386
748m,Tanah Merah Country Club Tampines Course,748,56369386
1.1km,Caribbean Spa,1093,56369386
1.2km,Changi business park,1163,56369386
1.2km,Singapore Convention and Exhibition Centre,1164,56369386
1.6km,Man Fatt Lam Temple,1608,56369386
1.7km,Constant Wind,1713,56369386
2.1km,Massage Master,2065,56369386
2.2km,Wat Palelai,2173,56369386
3km,Singapore Changi Airport,2960,1438301
34.5km,Woodlands Train Checkpoint,34550,1438301
2.4km,Changi Airport,2370,1438301
2.9km,Singapore Changi Airport Region,2910,1438301
96m,Zone X of Changi Airport,96,1438301
102m,Butterfly Garden,102,1438301
242m,Spa Express,242,1438301
310m,Be Relax,310,1438301
368m,Enchanted Garden,368,1438301
412m,Orchid Garden & Koi Pond,412,1438301
434m,Pokemon Center Singapore,434,1438301
442m,Canopy Playground of Changi Airport,442,1438301
442m,Canopy Park - Jewel Changi,442,1438301
443m,HSBC Rain Vortex,443,1438301
180m,Singapore Changi Airport,180,33756399
34.3km,Woodlands Train Checkpoint,34280,33756399
2.9km,Changi Airport,2940,33756399
320m,Singapore Changi Airport Region,320,33756399
119m,Fish Spa & Reflexology,119,33756399
141m,Mirror Maze,141,33756399
143m,Hedge Maze,143,33756399
160m,Manulife Sky Nets-Walking,160,33756399
163m,Manulife Sky Nets-Bouncing,163,33756399
171m,Changi Experience Studio,171,33756399
171m,Shiseido Forest Valley,171,33756399
172m,Jewel Changi Airport,172,33756399
183m,Kinetic Rain,183,33756399
195m,HSBC Rain Vortex,195,33756399
9.9km,Singapore Changi Airport,9870,5296804
28.6km,Woodlands Train Checkpoint,28560,5296804
1.5km,Pasir Ris,1540,5296804
9.8km,Singapore Changi Airport Region,9820,5296804
152m,Downtown East,152,5296804
374m,Wild Wild Wet,374,5296804
501m,Mega Carnival,501,5296804
515m,Tayo Station,515,5296804
910m,Pasir Ris Town Park,910,5296804
1.2km,Pasir Ris Fishing Pond,1163,5296804
1.8km,Loyang Tua Kong,1813,5296804
2km,Tampines Ecogreen,2006,5296804
2.5km,Changi Boardwalk,2502,5296804
2.8km,Changi Chapel and Museum,2790,5296804
10.8km,Singapore Changi Airport,10810,1359628
32.1km,Woodlands Train Checkpoint,32110,1359628
10.8km,Singapore Changi Airport Region,10760,1359628
260m,Changi Swimming Pool,260,1359628
360m,Changi Boardwalk,360,1359628
823m,Changi Golf Club,823,1359628
940m,Deep Sea Fishing,940,1359628
970m,Changi Village,970,1359628
1km,Changi Sri Ramar Temple,1001,1359628
1km,Stall #01-52,1004,1359628
1.1km,Changi Point Boardwalk,1085,1359628
1.4km,Changi Murals,1374,1359628
1.6km,Changi Beach Park,1585,1359628
13.2km,Singapore Changi Airport,13170,996289
27.8km,Woodlands Train Checkpoint,27750,996289
2.2km,Dakota,2210,996289
2.5km,Eunos,2460,996289
330m,East Coast,330,996289
21m,Katong Antique House,21,996289
52m,Church of the Holy Family,52,996289
53m,Katong District,53,996289
132m,Savoury Fare,132,996289
177m,KJC Art Circuit,177,996289
179m,Biking Singapore,179,996289
218m,Feet Haven Reflexology,218,996289
223m,Ashi Foot Reflexology,223,996289
310m,Joo Chiat Community Centre,310,996289
504m,Hot Spa,504,996289
15km,Singapore Changi Airport,14970,5732631
29.4km,Woodlands Train Checkpoint,29370,5732631
2.7km,Dakota,2730,5732631
3.5km,Eunos,3540,5732631
10m,East Coast,10,5732631
58m,KJC Art Circuit,58,5732631
81m,Ashi Foot Reflexology,81,5732631
81m,Feet Haven Reflexology,81,5732631
89m,Biking Singapore,89,5732631
123m,Savoury Fare,123,5732631
141m,Joo Chiat Community Centre,141,5732631
181m,Church of the Holy Family,181,5732631
253m,Katong Antique House,253,5732631
278m,Hot Spa,278,5732631
283m,Katong District,283,5732631
13.7km,Singapore Changi Airport,13670,996328
27.5km,Woodlands Train Checkpoint,27510,996328
1.6km,Eunos,1560,996328
1.6km,Dakota,1620,996328
700m,East Coast,700,996328
48m,Koon Seng Road,48,996328
167m,Peranakan Houses,167,996328
386m,"Guanyin Temple, Joo Chiat",386,996328
411m,Boo-Ti Parlour,411,996328
459m,Samsara Wellness,459,996328
461m,Singapore Joo Chiat Food Walk,461,996328
463m,Savoury Fare,463,996328
472m,Biking Singapore,472,996328
474m,Joo Chiat Community Centre,474,996328
476m,Eurasian Heritage Gallery,476,996328
13.1km,Singapore Changi Airport,13130,1720148
30.6km,Woodlands Train Checkpoint,30630,1720148
2.6km,Dakota,2620,1720148
3.1km,Eunos,3110,1720148
420m,East Coast,420,1720148
147m,Shenton Way Mee GorengMuslim Food,147,1720148
148m,Zhao De 01172,148,1720148
150m,Hot Spa,150,1720148
220m,V Spa,220,1720148
264m,KJC Art Circuit,264,1720148
287m,Ashi Foot Reflexology,287,1720148
289m,Feet Haven Reflexology,289,1720148
301m,Biking Singapore,301,1720148
306m,Joo Chiat Community Centre,306,1720148
329m,Savoury Fare,329,1720148
14.3km,Singapore Changi Airport,14260,687489
25.9km,Woodlands Train Checkpoint,25930,687489
1.4km,Paya Lebar,1400,687489
1.6km,Eunos,1580,687489
990m,East Coast,990,687489
96m,"Guanyin Temple, Joo Chiat",96,687489
178m,Boo-Ti Parlour,178,687489
186m,Samsara Wellness,186,687489
204m,Singapore Joo Chiat Food Walk,204,687489
239m,Peranakan Houses,239,687489
256m,Koon Seng Road,256,687489
305m,The Intan,305,687489
363m,Eurasian Heritage Gallery,363,687489
390m,Peranakan Trail,390,687489
510m,Changi Life Style Pte Ltd,510,687489
20.5km,Singapore Changi Airport,20460,1882960
21.6km,Woodlands Train Checkpoint,21620,1882960
10m,Bencoolen MRT,10,1882960
270m,Bras Basah,270,1882960
750m,Bugis,750,1882960
53m,The Theatre Practice,53,1882960
93m,The Private Museum,93,1882960
97m,Masjid Bencoolen,97,1882960
102m,Church of Saints Peter & Paul,102,1882960
110m,Maghain Aboth,110,1882960
163m,SIA Hop-on,163,1882960
186m,Healthfit Massage Therapy,186,1882960
202m,Singapore Art Museum,202,1882960
214m,St Joseph's Church (Victoria Street),214,1882960
252m,National Design Centre,252,1882960
19.6km,Singapore Changi Airport,19570,928266
26.8km,Woodlands Train Checkpoint,26780,928266
330m,Bencoolen MRT,330,928266
510m,Rochor,510,928266
490m,Bugis,490,928266
42m,Guanyin Hall in Sima Road,42,928266
48m,Kuan Im Thong Hood Cho Temple,48,928266
74m,Sri Krishnan Temple,74,928266
102m,Albert Mall,102,928266
113m,Healthfit Massage Therapy,113,928266
155m,Kelyn Esther,155,928266
212m,Prinsep Street Presbyterian Church,212,928266
217m,SIA Hop-on,217,928266
226m,Manekineko Bugis+,226,928266
232m,Rochor Canal,232,928266
7.3km,Singapore Changi Airport,7280,687683
31.6km,Woodlands Train Checkpoint,31640,687683
650m,Expo,650,687683
1.5km,Upper Changi MRT,1500,687683
7.2km,Singapore Changi Airport Region,7230,687683
72m,Changi business park,72,687683
221m,Caribbean Spa,221,687683
673m,Singapore Convention and Exhibition Centre,673,687683
902m,Tanah Merah Country Club Tampines Course,902,687683
1.2km,Laguna National Golf & Country Club,1174,687683
1.3km,The NEWater Visitor Centre,1295,687683
1.9km,Man Fatt Lam Temple,1894,687683
2.1km,Massage Master,2056,687683
2.1km,Steel in Bloom,2072,687683
2.2km,Tampines Changkat Butterfly Garden,2162,687683
13.3km,Singapore Changi Airport,13310,7032771
27km,Woodlands Train Checkpoint,27050,7032771
360m,Kembangan,360,7032771
1.4km,Eunos,1430,7032771
2.6km,East Coast,2550,7032771
195m,Kembangan,195,7032771
514m,One Kind House,514,7032771
561m,Imagenius,561,7032771
984m,Stall #01-28,984,7032771
985m,Gorilla Climbing Gym,985,7032771
1.3km,Pause Massage + Spa,1259,7032771
1.3km,Xtreme Skate Park,1299,7032771
1.3km,Changi Life Style Pte Ltd,1310,7032771
1.3km,Spa Lifestyle Beauty & Care,1320,7032771
1.3km,Boo-Ti Parlour,1321,7032771
14.6km,Singapore Changi Airport,14590,687513
27.5km,Woodlands Train Checkpoint,27550,687513
840m,Paya Lebar,840,687513
930m,Eunos,930,687513
1.6km,East Coast,1550,687513
104m,Geylang Serai,104,687513
233m,Peranakan Trail,233,687513
243m,Kampong Ubi Community Centre,243,687513
277m,The Intan,277,687513
282m,Changi Life Style Pte Ltd,282,687513
343m,Singapore Pools,343,687513
440m,Samsara Wellness,440,687513
462m,Singapore Joo Chiat Food Walk,462,687513
480m,"Guanyin Temple, Joo Chiat",480,687513
492m,Boo-Ti Parlour,492,687513
16km,Singapore Changi Airport,16000,687499
25.2km,Woodlands Train Checkpoint,25230,687499
800m,Paya Lebar,800,687499
1.1km,Eunos,1070,687499
1.6km,East Coast,1650,687499
76m,Geylang Serai,76,687499
231m,Peranakan Trail,231,687499
288m,Singapore Pools,288,687499
289m,Kampong Ubi Community Centre,289,687499
315m,The Intan,315,687499
337m,Changi Life Style Pte Ltd,337,687499
451m,Samsara Wellness,451,687499
465m,Tanjong Katong Complex,465,687499
469m,Singapore Joo Chiat Food Walk,469,687499
501m,"Guanyin Temple, Joo Chiat",501,687499
20.3km,Singapore Changi Airport,20270,2377341
24.4km,Woodlands Train Checkpoint,24390,2377341
730m,MacPherson,730,2377341
810m,Paya Lebar,810,2377341
1.4km,Geylang,1420,2377341
661m,Sri Shivan Temple,661,2377341
667m,Kang Jia Massage Singapore,667,2377341
686m,Shanghai Noodle. Lor Mee,686,2377341
711m,Foo Hai Ch'an Monastery,711,2377341
747m,Tanjong Katong Complex,747,2377341
771m,Dragonwick Gallery,771,2377341
820m,City Plaza,820,2377341
847m,Singapore Pools,847,2377341
889m,Geylang Serai,889,2377341
1km,Kampong Ubi Community Centre,1006,2377341
21.4km,Singapore Changi Airport,21410,995050
29.2km,Woodlands Train Checkpoint,29180,995050
230m,Chinatown,230,995050
470m,Clarke Quay,470,995050
61m,Thong Chai Medical Institution,61,995050
99m,Hong Lim Park,99,995050
120m,St. Gregory Spa,120,995050
187m,SL II Muffin,187,995050
189m,Masjid Omar Kampong Melaka,189,995050
190m,Tai Cha Mixed Veg Rice & Porridge,190,995050
203m,Tamoya,203,995050
224m,Aegean Spa,224,995050
253m,People of the River,253,995050
254m,Singapore River Festival,254,995050
26.4km,Singapore Changi Airport,26430,687761
21.4km,Woodlands Train Checkpoint,21430,687761
850m,Tiong Bahru,850,687761
1.2km,Outram Park,1150,687761
1.1km,Singapore River,1120,687761
161m,Waka Waka,161,687761
308m,Tiong Bahru Estate,308,687761
336m,Seng Poh Garden & Dancing Girl Sculpture,336,687761
441m,Nimble/Knead,441,687761
484m,Pasar and the Fortune Teller,484,687761
514m,Pearl's Hill City Park,514,687761
524m,Eu Chin Street,524,687761
615m,Tiong Bahru Air Raid Shelter,615,687761
638m,Alkaff Bridge,638,687761
639m,Theatreworks,639,687761
26.1km,Singapore Changi Airport,26060,995077
21.5km,Woodlands Train Checkpoint,21470,995077
870m,Outram Park,870,995077
870m,Tiong Bahru,870,995077
1.3km,Singapore River,1330,995077
236m,Tiong Bahru Estate,236,995077
271m,Waka Waka,271,995077
302m,Seng Poh Garden & Dancing Girl Sculpture,302,995077
386m,Nimble/Knead,386,995077
423m,Pasar and the Fortune Teller,423,995077
473m,Eu Chin Street,473,995077
479m,Pearl's Hill City Park,479,995077
567m,Tiong Bahru Air Raid Shelter,567,995077
575m,College of Medicine Building,575,995077
668m,Keong Saik Road,668,995077
23.9km,Singapore Changi Airport,23920,996044
29.5km,Woodlands Train Checkpoint,29450,996044
140m,Chinatown,140,996044
590m,Telok Ayer,590,996044
1km,Chinatown,1040,996044
65m,Tai Cha Mixed Veg Rice & Porridge,65,996044
69m,SL II Muffin,69,996044
92m,Tamoya,92,996044
103m,NIWADO (TCM) WELLNESS,103,996044
110m,Orient Health Management,110,996044
131m,St. Gregory Spa,131,996044
155m,Heading Home (Rickshaw),155,996044
168m,Heritage Marker SB31 - Squatters & Squalor,168,996044
173m,The Oriental Spa Chamber,173,996044
174m,Jamae Mosque,174,996044
31.5km,Singapore Changi Airport,31500,687668
18.9km,Woodlands Train Checkpoint,18850,687668
300m,Buona Vista,300,687668
800m,one-north,800,687668
820m,Queenstown,820,687668
213m,The Star Performing Arts Centre,213,687668
214m,Rochester Park,214,687668
436m,Rail Corridor Art Space,436,687668
484m,The Green Corridor,484,687668
620m,Cecilia Westberry Beauty Spa,620,687668
678m,Fusionopolis,678,687668
812m,My Happy Feet,812,687668
856m,D'leedon,856,687668
877m,Holland Village,877,687668
913m,MOE Heritage Centre,913,687668
23.9km,Singapore Changi Airport,23920,1406594
17.7km,Woodlands Train Checkpoint,17740,1406594
1.1km,Stevens,1100,1406594
1.7km,Orchard,1680,1406594
1.6km,Orchard Road,1620,1406594
215m,"CHI, The Spa at Shangri-La",215,1406594
649m,Spaboutique,649,1406594
692m,Swuk Aesthetics & Spa,692,1406594
781m,The American Club Singapore,781,1406594
798m,Imbiah Battery,798,1406594
873m,Padma Spa,873,1406594
873m,YANG Gallery,873,1406594
889m,Remede Spa,889,1406594
908m,SK-II Boutique Spa,908,1406594
909m,Supreme Q.X. Beauty Spa,909,1406594
25.3km,Singapore Changi Airport,25270,996324
19.1km,Woodlands Train Checkpoint,19080,996324
1.2km,Orchard,1170,996324
2.6km,Redhill,2640,996324
1.4km,Orchard Road,1420,996324
62m,Boons Pottery & Art Gallery,62,996324
62m,Bruno Gallery,62,996324
84m,Trimmings Salon & Spa - AVEDA,84,996324
109m,Remede Spa,109,996324
337m,Spaboutique,337,996324
369m,Four Seasons Spa,369,996324
467m,YANG Gallery,467,996324
479m,Swuk Aesthetics & Spa,479,996324
542m,Wellaholic (Clarke Quay Outlet),542,996324
579m,Pulse TCM Clinic & Foot Reflexology,579,996324
27km,Singapore Changi Airport,26980,25467000
30.2km,Woodlands Train Checkpoint,30220,25467000
110m,Imbiah,110,25467000
1.3km,Waterfront,1330,25467000
1.6km,Sentosa Island,1620,25467000
60m,Universal Studio Singapore,60,25467000
105m,Resorts World Sentosa,105,25467000
191m,Victor Tan Wire Sculpture,191,25467000
192m,WaterWorld,192,25467000
221m,Madagascar: A Crate Adventure,221,25467000
222m,Mega Bounce & Crazy Bounce,222,25467000
229m,Universal Studios Singapore,229,25467000
232m,Festive Walk,232,25467000
254m,Lake of Dreams,254,25467000
270m,Spa Luna,270,25467000
23.2km,Singapore Changi Airport,23170,995019
29.7km,Woodlands Train Checkpoint,29710,995019
100m,Outram Park,100,995019
740m,Chinatown,740,995019
1.1km,Chinatown,1060,995019
77m,Kong Chow Cultural Centre,77,995019
82m,Zhun Ti Gong,82,995019
99m,Jean Yip Loft,99,995019
135m,Sri Layan Sithi Vinayagar Temple,135,995019
162m,Grassroots Book Room,162,995019
163m,Oriental Elixir,163,995019
175m,Siong Leng Musical Association,175,995019
177m,Porcelain Face Spa,177,995019
192m,Spalogy,192,995019
196m,Neil Road,196,995019
17.7km,Singapore Changi Airport,17710,28870957
23.4km,Woodlands Train Checkpoint,23400,28870957
920m,Kallang,920,28870957
1.1km,Aljunied,1140,28870957
1.4km,Geylang,1450,28870957
241m,Masjid Haji Mohd Salleh,241,28870957
256m,Kang Ha Pheng Sim Kok,256,28870957
376m,Fun Empire,376,28870957
381m,Gymkraft,381,28870957
409m,g.spa Fitness and Recreation Hub,409,28870957
554m,Encounter - Real life Suspense Game,554,28870957
684m,Aljunied,684,28870957
802m,Sri Krishna Mandir,802,28870957
840m,Khadijah Mosque,840,28870957
855m,Tick Tack Toe Foot Spa,855,28870957
17.6km,Singapore Changi Airport,17610,7042701
23.2km,Woodlands Train Checkpoint,23240,7042701
810m,Kallang,810,7042701
1.1km,Mountbatten,1120,7042701
1.6km,Geylang,1610,7042701
183m,Masjid Haji Mohd Salleh,183,7042701
278m,Fun Empire,278,7042701
345m,Kang Ha Pheng Sim Kok,345,7042701
451m,Gymkraft,451,7042701
494m,g.spa Fitness and Recreation Hub,494,7042701
673m,Encounter - Real life Suspense Game,673,7042701
800m,Aljunied,800,7042701
808m,Singapore Sports Hub,808,7042701
832m,OCBC Aquatic Centre,832,7042701
923m,Sri Krishna Mandir,923,7042701
18.6km,Singapore Changi Airport,18600,11491662
21.2km,Woodlands Train Checkpoint,21240,11491662
440m,Bugis,440,11491662
830m,Nicoll Highway,830,11491662
910m,Bugis,910,11491662
107m,Haji Lane,107,11491662
126m,Spa@ThePlaza,126,11491662
126m,St Gregory Javana Spa,126,11491662
139m,The Nail Social,139,11491662
216m,Parkview Square,216,11491662
217m,Trapped,217,11491662
230m,Children Little Museum,230,11491662
247m,"Museum of Independent Music, Singapore",247,11491662
252m,Kampong Glam,252,11491662
255m,The Gem Museum,255,11491662
20.8km,Woodlands Train Checkpoint,20770,68173444
770m,Lavender,770,68173444
258m,Thekchen Choling,258,68173444
331m,Boulder+,331,68173444
366m,Wellaholic (Lavender Outlet),366,68173444
395m,Jalan Besar Stadium,395,68173444
433m,Jalan Besar Swimming Complex,433,68173444
449m,Soon Kee Boneless Lor Duck Rice,449,68173444
524m,Petain Road,524,68173444
558m,Sushi Bee,558,68173444
572m,Sri Vadapathira Kaliamman Temple,572,68173444
588m,Sri Manmatha Karuneshvarar Temple,588,68173444
20.3km,Singapore Changi Airport,20340,687491
23km,Woodlands Train Checkpoint,22970,687491
510m,Bendemeer MRT,510,687491
920m,Lavender,920,687491
780m,Lavender,780,687491
174m,Thekchen Choling,174,687491
352m,Jalan Besar Stadium,352,687491
375m,Jalan Besar Swimming Complex,375,687491
399m,Wellaholic (Lavender Outlet),399,687491
404m,Boulder+,404,687491
407m,Soon Kee Boneless Lor Duck Rice,407,687491
424m,Petain Road,424,687491
478m,Sri Vadapathira Kaliamman Temple,478,687491
507m,The Golden Space,507,687491
519m,Kinetics Climbing Gym,519,687491
15.7km,Singapore Changi Airport,15720,4508010
17.6km,Woodlands Train Checkpoint,17560,4508010
370m,Bendemeer MRT,370,4508010
660m,Farrer Park,660,4508010
900m,Lavender,900,4508010
254m,Thekchen Choling,254,4508010
371m,Sri Vadapathira Kaliamman Temple,371,4508010
398m,The Golden Space,398,4508010
414m,Petain Road,414,4508010
432m,Kinetics Climbing Gym,432,4508010
463m,Sakya Muni Buddha Gaya Temple,463,4508010
465m,Leong San See Temple,465,4508010
466m,Jalan Besar Stadium,466,4508010
